airline,airport1,airport2,stdev
AA,AUS,ORD,0.06882066667077302
UA,AUS,ORD,17.551884848179867
all,AUS,ORD,8.81035275742532
AA,BOS,ORD,7.012270514437253
B6,BOS,ORD,2.275174607323025
UA,BOS,ORD,9.541954410047435
all,BOS,ORD,6.276466510602571
AA,DCA,ORD,26.60001032412025
UA,DCA,ORD,34.2126136714131
all,DCA,ORD,30.40631199776668
F9,DEN,MDW,4.969586932860951
all,DEN,MDW,4.969586932860951
AA,DEN,ORD,21.337171670906
NK,DEN,ORD,6.035405863630726
UA,DEN,ORD,51.99742888710441
all,DEN,ORD,26.456668807213713
AA,FLL,ORD,22.16510875851509
NK,FLL,ORD,8.682428826910602
UA,FLL,ORD,12.073130645270375
all,FLL,ORD,14.306889410232023
B6,JFK,ORD,6.080905611363114
all,JFK,ORD,6.080905611363114
AA,LAS,ORD,16.193819629911996
NK,LAS,ORD,10.355171406955089
UA,LAS,ORD,10.567636718710459
all,LAS,ORD,12.372209251859182
AA,LAX,ORD,19.816561723933045
NK,LAX,ORD,5.805241102358025
UA,LAX,ORD,11.675326740799349
VX,LAX,ORD,13.777710323152032
all,LAX,ORD,12.768709972560615
AA,LGA,ORD,22.128562718774788
DL,LGA,ORD,16.92209305772057
NK,LGA,ORD,13.75047919880786
UA,LGA,ORD,0.7021040210895761
all,LGA,ORD,13.375809749098199
FL,MCO,MDW,8.837111272157522
all,MCO,MDW,8.837111272157522
AA,MCO,ORD,19.876975001037152
NK,MCO,ORD,9.550243966353044
UA,MCO,ORD,14.368944558451963
all,MCO,ORD,14.59872117528072
F9,MDW,DEN,6.517332394970869
all,MDW,DEN,6.517332394970869
FL,MDW,MCO,11.544958345381039
all,MDW,MCO,11.544958345381039
AA,MIA,ORD,18.441290349333176
UA,MIA,ORD,49.274314944530126
all,MIA,ORD,33.85780264693165
AA,MSY,ORD,18.599780040483708
UA,MSY,ORD,5.352396337116688
all,MSY,ORD,11.976088188800198
AA,ORD,AUS,0.08010332458561442
UA,ORD,AUS,1.004931365773127
all,ORD,AUS,0.5425173451793707
AA,ORD,BOS,6.875037082048773
B6,ORD,BOS,3.575981138137281
UA,ORD,BOS,6.8138030194981045
all,ORD,BOS,5.754940413228053
AA,ORD,DCA,27.10896488892227
UA,ORD,DCA,92.20115328913488
all,ORD,DCA,59.655059089028576
AA,ORD,DEN,26.47803563404727
NK,ORD,DEN,6.743417307759671
UA,ORD,DEN,33.568469025350204
all,ORD,DEN,22.263307322385714
AA,ORD,FLL,20.4699872499549
NK,ORD,FLL,10.736249913567594
UA,ORD,FLL,8.815103578261867
all,ORD,FLL,13.34044691392812
B6,ORD,JFK,6.01427396146436
all,ORD,JFK,6.01427396146436
AA,ORD,LAS,15.553356449449382
NK,ORD,LAS,6.654753289052489
UA,ORD,LAS,52.43967181562525
all,ORD,LAS,24.882593851375706
AA,ORD,LAX,20.980841249208652
NK,ORD,LAX,9.556874014488228
UA,ORD,LAX,10.617147154388684
VX,ORD,LAX,14.687632918454721
all,ORD,LAX,13.96062383413507
AA,ORD,LGA,25.027326840509044
DL,ORD,LGA,18.492459909779306
NK,ORD,LGA,13.871305097272362
UA,ORD,LGA,1.3243609274145116
all,ORD,LGA,14.678863193743805
AA,ORD,MCO,19.6209168550603
NK,ORD,MCO,7.191171679761536
UA,ORD,MCO,13.78286085307626
all,ORD,MCO,13.531649795966032
AA,ORD,MIA,16.315281531495803
UA,ORD,MIA,10.916337031494168
all,ORD,MIA,13.615809281494986
AA,ORD,MSY,16.04438816203721
UA,ORD,MSY,9.265185056274406
all,ORD,MSY,12.65478660915581
AA,ORD,PHX,16.769068619841118
UA,ORD,PHX,13.948099072298058
US,ORD,PHX,5.865353335665725
all,ORD,PHX,12.194173675934968
AA,ORD,RSW,22.808982126518714
NK,ORD,RSW,8.960307469600968
UA,ORD,RSW,12.145494170936425
all,ORD,RSW,14.63826125568537
AA,ORD,SAN,19.903073253181475
UA,ORD,SAN,10.247989853228287
all,ORD,SAN,15.07553155320488
AA,ORD,SEA,20.633357120520383
AS,ORD,SEA,9.952120124142263
UA,ORD,SEA,13.412087617039672
all,ORD,SEA,14.665854953900775
AA,ORD,SFO,24.508679778681707
UA,ORD,SFO,84.03783041934884
VX,ORD,SFO,17.71497727972365
all,ORD,SFO,42.08716249258473
AA,PHX,ORD,15.306845876193247
UA,PHX,ORD,13.96144747925172
US,PHX,ORD,9.509996558097574
all,PHX,ORD,12.926096637847515
AA,RSW,ORD,22.11745634803387
NK,RSW,ORD,8.461137291157891
UA,RSW,ORD,10.77108211871691
all,RSW,ORD,13.783225252636223
AA,SAN,ORD,17.415862321410458
UA,SAN,ORD,10.774388667490587
all,SAN,ORD,14.095125494450523
AA,SEA,ORD,18.46804044111635
AS,SEA,ORD,9.305086893778153
UA,SEA,ORD,8.934909756893536
all,SEA,ORD,12.236012363929348
AA,SFO,ORD,23.201424008156362
UA,SFO,ORD,47.4014627348989
VX,SFO,ORD,16.57905914965938
all,SFO,ORD,29.060648630904883
